active,confirmed,country,deaths,recovered
1429,1475,Panama,37,9
1429,4149,Panama,37,9
1429,4149,Panama,34,9
1429,4149,Panama,34,281
3834,4149,Panama,34,281
3834,4149,Russia,34,281
3834,2612,Russia,34,281
3834,2612,Russia,31,281
3834,2612,Russia,31,500
2081,2612,Russia,31,500
2081,2612,Luxembourg,31,500
2081,245,Luxembourg,31,500
2081,245,Luxembourg,30,500
2081,245,Luxembourg,30,21
194,245,Luxembourg,30,21
194,245,San Marino,30,21
194,5350,San Marino,30,21
194,5350,San Marino,28,21
194,5350,San Marino,28,585
4737,5350,San Marino,28,585
4737,5350,Australia,28,585
4737,623,Australia,28,585
4737,623,Australia,26,585
4737,623,Australia,26,43
554,623,Australia,26,43
554,623,Hungary,26,43
554,2039,Hungary,26,43
554,2039,Hungary,25,43
554,2039,Hungary,25,351
1663,2039,Hungary,25,351
1663,2039,Saudi Arabia,25,351
1663,942,Saudi Arabia,25,351
1663,942,Saudi Arabia,23,351
1663,942,Saudi Arabia,23,19
900,942,Saudi Arabia,23,19
900,942,Ukraine,23,19
900,3737,Ukraine,23,19
900,3737,Ukraine,22,19
900,3737,Ukraine,22,427
3288,3737,Ukraine,22,427
3288,3737,Chile,22,427
3288,1615,Chile,22,427
3288,1615,Chile,20,427
3288,1615,Chile,20,300
1295,1615,Chile,20,300
1295,1615,Finland,20,300
1295,934,Finland,20,300
1295,934,Finland,20,300
1295,934,Finland,20,70
844,934,Finland,20,70
844,934,Slovenia,20,70
844,1978,Slovenia,20,70
844,1978,Slovenia,19,70
844,1978,Slovenia,19,581
1378,1978,Slovenia,19,581
1378,1978,Thailand,19,581
1378,1161,Thailand,19,581
1378,1161,Thailand,19,581
1378,1161,Thailand,19,55
1087,1161,Thailand,19,55
1087,1161,Colombia,19,55
1087,495,Colombia,19,55
1087,495,Colombia,18,55
1087,495,Colombia,18,5
472,495,Colombia,18,5
472,495,Tunisia,18,5
472,575,Tunisia,18,5
472,575,Tunisia,17,5
472,575,Tunisia,17,27
531,575,Tunisia,17,27
531,575,Bosnia and Herzegovina,17,27
531,508,Bosnia and Herzegovina,17,27
531,508,Bosnia and Herzegovina,17,27
531,508,Bosnia and Herzegovina,17,50
441,508,Bosnia and Herzegovina,17,50
441,508,Lebanon,17,50
441,304,Lebanon,17,50
441,304,Lebanon,17,50
441,304,Lebanon,17,89
198,304,Lebanon,17,89
198,304,Albania,17,89
198,439,Albania,17,89
198,439,Albania,16,89
198,439,Albania,16,16
407,439,Albania,16,16
407,439,Andorra,16,16
407,302,Andorra,16,16
407,302,Andorra,16,16
407,302,Andorra,16,50
236,302,Andorra,16,50
236,302,Burkina Faso,16,50
236,222,Burkina Faso,16,50
236,222,Burkina Faso,15,50
236,222,Burkina Faso,15,3
204,222,Burkina Faso,15,3
204,222,Honduras,15,3
204,485,Honduras,15,3
204,485,Honduras,14,3
204,485,Honduras,14,30
441,485,Honduras,14,30
441,485,Bulgaria,14,30
441,134,Bulgaria,14,30
441,134,Bulgaria,13,30
441,134,Bulgaria,13,3
118,134,Bulgaria,13,3
118,134,DRC,13,3
118,961,DRC,13,3
118,961,DRC,12,3
118,961,DRC,12,48
901,961,DRC,12,48
901,961,Estonia,12,48
901,712,Estonia,12,48
901,712,Estonia,11,48
901,712,Estonia,11,619
82,712,Estonia,11,619
82,712,Diamond Princess,11,619
82,430,Diamond Princess,11,619
